id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license,price_text
24,aic_24.jpg,Portrait of Edouard Molé,Robert Nanteuil,1653.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5df51c9d-dac5-d962-4d4b-300339219e54/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/24,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
38,aic_38.jpg,"Portrait of Jacques Nicolas Colbert, Archbishop of Rouen",Pierre Drevet,1699.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/8cb1f867-9b6e-c065-f9fd-27273212c050/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/38,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
46,aic_46.jpg,"Portrait Bust of a Woman with a Large Collar, from Perfect School to Learn How to Draw the Entire Human Body (English translation)",Luca Ciamberlano,1580.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7e00ffbc-16a9-96b9-3da2-f38174cccb5f/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/46,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
58,aic_58.jpg,"Portrait of a Sixty-year-old Woman, from Recueil d'estampes d'après les plus célèbres tableaux de la Galerie Royale de Dresde",Pieter Tanjé,1753.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/529f40db-cec2-b3a4-e955-432bb39372ba/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/58,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
62,aic_62.jpg,"Head of Executioner, from John Evelyn's Sculptura",Richard Houston,1755.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/8317e653-b0eb-3ba3-1886-3141db56f529/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/62,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
63,aic_63.jpg,Portrait of Don Emanuel Desvalls,Jacob Matthias Schmutzer,1753.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/328ad17c-2520-84f9-4525-63a6b29ee90e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/63,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
66,aic_66.jpg,A Young Man Caressing the Young Hostess,Cornelis Pietersz. Bega,1640.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/ab1dfe48-14e8-b546-7e35-581c401db240/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/66,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
74,aic_74.jpg,Three Oriental Figures (Jacob and Laban?),Rembrandt van Rijn,1641.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5a1ce126-9ffd-36d2-21f1-21c667c4241c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/74,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing', 'paper']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing', 'ink', 'paper']",['Prints and Drawings'],unknown,Estimate: $3.4M
75,aic_75.jpg,Portrait of Rembrandt,Georg Friedrich Schmidt,1771.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/f6358788-b2de-2185-07a6-04da4d152410/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/75,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
87,aic_87.jpg,"A warrior sits on a block and gestures; two figure are behind him, from Figurine series",Salvator Rosa,1656.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/86cecc57-ac83-ef3e-dd8f-7f24fce0effb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/87,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
138,aic_138.jpg,Flower Girl in Holland,George Hitchcock,1887.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/e72305c9-1a1c-8a36-7450-582619366338/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/138,Potter Palmer Collection,Arts of the Americas,"['painting', 'american arts']",['Impressionism'],"['painting', 'oil paint (paint)', 'Impressionism', 'landscapes', 'organic material', 'american arts', 'countryside', 'women', 'flowers', 'Holland', 'Chicago']",['Arts of the Americas'],unknown,Estimate: $3.8M
142,aic_142.jpg,Portrait of Philibert Orrey,François Bernard Lépicié,1737.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/14fc8342-1018-c621-82c3-f9ee60e6f81c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/142,Elizabeth Hammond Stickney Collection,Prints and Drawings,"['engraving', 'print', 'prints and drawing']",[],"['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
146,aic_146.jpg,Portrait of D. Hieronymous van Beverningk,Abraham Blooteling,1660.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/2db1f9d1-91da-d8be-5c39-9cda2cfa729d/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/146,Gift of Elizabeth Hammond Stickney,Prints and Drawings,"['mezzotint', 'print', 'prints and drawing']",[],"['mezzotint', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown,Estimate: $3.4M
153,aic_153.jpg,The Lost Pleiade,Randolph Rogers,1874.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/f9549068-ad7e-c9ce-6fed-5c7a429024fb/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/153,Gift of Mrs. E. S. Stickney,Arts of the Americas,"['sculpture', 'american arts']",[],"['sculpture', 'marble', 'mythology', 'metamorphic rock', 'rock', 'inorganic material', 'american arts', 'female figures', 'people', 'portraits']",['Arts of the Americas'],unknown,Estimate: $3.4M
155,aic_155.jpg,Mastoid (Drinking Cup),Leafless Group,-500.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/4b94ea8b-0bb7-e063-1535-969c0373ccce/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/155,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']",['black-figure'],"['drinking vessel', 'terracotta', 'ceramics', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
160,aic_160.jpg,Pyxis (Container for Personal Objects),Ancient Greek,-550.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/e0db998b-5586-aa1f-e2cd-913904656247/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/160,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['ceramics', 'vessel', 'ancient art']",['black-figure'],"['ceramics', 'terracotta', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
162,aic_162.jpg,Hydria (Water Jar),Ancient Greek,-515.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/4a81239a-1bb6-d899-03f8-ee4a88e3a8f8/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/162,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art']","['archaic (greek)', 'attic', 'black-figure']","['terracotta', 'throwing (pottery technique)', 'archaic (greek)', 'vessel', 'mythological figures', 'earthenware', 'ceramic', 'inorganic material', 'attic', 'black-figure', 'ceramics', 'ancient art', 'drinking', 'Heracles', 'Aphrodite']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
164,aic_164.jpg,Column-Krater (Mixing Bowl),Ancient Greek,-460.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/f7c96efa-2b60-565e-3b03-a3acf7f79ea9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/164,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art']","['attic', 'red-figure']","['terracotta', 'attic', 'vessel', 'mythological figures', 'earthenware', 'ceramic', 'inorganic material', 'red-figure', 'ceramics', 'ancient art', 'drinking', 'zeus']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
166,aic_166.jpg,Amphora (Storage Jar),Achilles Painter,-460.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7605118c-b634-cd1f-2c92-b1406ffb1071/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/166,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'ceramics', 'ancient art']",['red-figure'],"['terracotta', 'vessel', 'ceramics', 'ceramic', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
170,aic_170.jpg,Calyx Krater (Mixing Bowl),Perugia Painter,-400.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/d915de0e-6a47-3119-4261-710ab0135862/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/170,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art']","['lucanian', 'south italian', 'red-figure']","['terracotta', 'lucanian', 'vessel', 'earthenware', 'ceramic', 'inorganic material', 'south italian', 'red-figure', 'ceramics', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
173,aic_173.jpg,Mastoid (Drinking Cup) with Handles,Ancient Greek,-500.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/24476a3c-c0e8-28cf-8634-105171740077/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/173,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']","['attic', 'black-figure']","['drinking vessel', 'terracotta', 'attic', 'ceramics', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
176,aic_176.jpg,Mastoid (Drinking Cup),Caylus Painter,-500.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/c56d707e-cc49-ca01-727a-a9e1cf55c1bc/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/176,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']","['attic', 'black-figure']","['drinking vessel', 'terracotta', 'attic', 'ceramics', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
177,aic_177.jpg,Stamnos (Mixing Jar),Chicago Painter,-450.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/677cb9ce-8e4c-119a-711e-9b5a98c834d9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/177,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art', 'container']","['high classical', 'Classical', 'attic', 'red-figure', 'ancient']","['terracotta', 'throwing (pottery technique)', 'high classical', 'vessel', 'drinking', 'earthenware', 'ceramic', 'inorganic material', 'Classical', 'attic', 'red-figure', 'ceramics', 'ancient art', 'red-figure', 'dining', 'container', 'ancient', 'women', 'human figures', 'Greek', 'females', 'festivals', 'female figures', 'daily life', 'men', 'chairs', 'Greece', 'cups', 'interiors']","['Arts of the Ancient Mediterranean and Byzantium', 'Art Institute Icons', 'Drinking and Dining']",unknown,Estimate: $3.4M
181,aic_181.jpg,Amphora (Storage Jar),Ixion Painter,-340.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/d8fab7c6-8cc9-1c02-18db-0f198775ccc9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/181,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'ceramics', 'ancient art']",['red-figure'],"['terracotta', 'vessel', 'ceramics', 'ceramic', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
185,aic_185.jpg,Kylix (Drinking Cup),Penthesilea Painter,-460.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/9312601d-c20c-289e-c026-eafc676c5116/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/185,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']","['Classical', 'greek', 'red-figure']","['drinking vessel', 'terracotta', 'drinking', 'Classical', 'ceramics', 'vessel', 'ancient art', 'greek', 'red-figure', 'woman', 'youth', 'dining']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
242,aic_242.jpg,Amphora (Storage Jar),Ancient Greek,-400.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/de7d5700-4efc-ae3b-0e32-614df31d5cbc/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/242,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'ceramics', 'ancient art']",['red-figure'],"['terracotta', 'vessel', 'ceramics', 'ceramic', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
245,aic_245.jpg,Oinochoe (Pitcher),Ancient Greek,-325.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/229b278b-bbce-c26e-01e6-e33489494317/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/245,The Art Institute of Chicago,Arts of the Ancient Mediterranean and Byzantium,"['pitcher (vessel)', 'ceramics', 'vessel', 'ancient art']",['red-figure'],"['pitcher (vessel)', 'terracotta', 'ceramics', 'ceramic', 'vessel', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
246,aic_246.jpg,Oinochoe (Pitcher),Mattinata Painter,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/44abac03-4d36-aac6-f44e-ffe1d57dfb03/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/246,The Art Institute of Chicago,Arts of the Ancient Mediterranean and Byzantium,"['pitcher (vessel)', 'ceramics', 'vessel', 'ancient art']",['red-figure'],"['pitcher (vessel)', 'terracotta', 'ceramics', 'ceramic', 'vessel', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
250,aic_250.jpg,Column-Krater (Mixing Bowl),Ancient Greek,-450.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/4c8f7420-eab0-ab61-5004-fb78ffff27b6/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/250,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'ceramics', 'ancient art']",['red-figure'],"['terracotta', 'vessel', 'ceramics', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
252,aic_252.jpg,Hydria (Water Jar),The Orchard Painter,-480.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/a140d1bb-f954-52af-c0dc-4e0cbbd184b9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/252,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'earthenware', 'ceramics', 'ancient art']",['red-figure'],"['terracotta', 'vessel', 'earthenware', 'ceramic', 'inorganic material', 'ceramics', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
254,aic_254.jpg,Amphora (Storage Jar),Michigan Painter,-490.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5e209161-6b7e-0783-f52d-1cc8677285c2/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/254,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['vessel', 'ceramics', 'ancient art']",['black-figure'],"['terracotta', 'vessel', 'ceramics', 'ceramic', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
255,aic_255.jpg,Fish Plate,Ancient Greek,-400.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/41e76dfc-8322-cc90-121b-0cab281051d4/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/255,Gift of Philip D. Armour and Charles L. Hutchinson,Arts of the Ancient Mediterranean and Byzantium,"['plate (general, dish)', 'earthenware', 'dish (vessel)', 'ceramics', 'vessel', 'ancient art', 'decorative arts']","['greek', 'attic', 'red-figure', 'ancient']","['plate (general, dish)', 'terracotta', 'greek', 'earthenware', 'animals', 'dish (vessel)', 'ceramic', 'inorganic material', 'attic', 'red-figure', 'ceramics', 'vessel', 'ancient art', 'ancient', 'decorative arts']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
262,aic_262.jpg,Portrait Head of a Youth,Ancient Roman,14.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7502d86c-1387-4ae7-f334-94245a52ddd0/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/262,Gift of Martin A. Ryerson,Arts of the Ancient Mediterranean and Byzantium,"['marble', 'stone', 'sculpture', 'ancient art']",[],"['marble', 'marble', 'men', 'metamorphic rock', 'rock', 'inorganic material', 'stone', 'sculpture', 'ancient art', 'youth', 'heads']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.4M
269,aic_269.jpg,Kylix (Drinking Cup),Epeleios Painter,-510.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/9717c905-6223-5242-1784-9a33275573c9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/269,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'earthenware', 'ceramics', 'vessel', 'ancient art']","['attic', 'red-figure']","['drinking vessel', 'terracotta', 'attic', 'earthenware', 'ceramic', 'inorganic material', 'red-figure', 'ceramics', 'vessel', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
277,aic_277.jpg,Kantharos (Drinking Cup),Kantharos Group,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/63879ffb-c96a-7386-659f-ecff2e105efd/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/277,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']",['red-figure'],"['drinking vessel', 'terracotta', 'ceramics', 'vessel', 'ancient art', 'red-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
283,aic_283.jpg,Mastoid (Drinking Cup),Ancient Greek,-500.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/3d4bfe8a-95cf-77a6-8f8a-18e0b7541985/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/283,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['drinking vessel', 'ceramics', 'vessel', 'ancient art']","['attic', 'black-figure']","['drinking vessel', 'terracotta', 'attic', 'ceramics', 'vessel', 'ancient art', 'black-figure']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
