id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license
4562,aic_4562.jpg,"Mansion Used as Temporary Offices; old Automobile; Location Probably on Pacific Heights, San Francisco Earthquake and Fire",Arnold Genthe,1906.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/cdf3f5a7-18ab-fcdf-b8bc-efd9eed78b25/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4562,Peabody Fund,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'cityscapes', 'black-and-white photography', 'landscapes', 'photography', 'photographic process', 'photography', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
4594,aic_4594.jpg,Boy and His Dog,Arnold Newman,1947.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/df63b093-a352-016e-bf4b-96bcf83fef2b/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4594,Gift of Mr. Harold Kaye,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'black-and-white photography', 'photographic process', 'photography', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
4604,aic_4604.jpg,"Man on a Church Porch, West Palm Beach",Arnold Newman,1940.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/cbb40f0c-9864-8a27-25c4-29724088c098/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4604,Gift of Mr. Harold Kaye,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'black-and-white photography', 'photographic process', 'photography', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
4631,aic_4631.jpg,Ithaca-Policeman in Front of Fruit Stand,Arnold Newman,1949.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/962a192e-20b6-bb86-63d5-22d7c1618764/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4631,Gift of Mr. Harold Kaye,Photography and Media,"['photographic process', 'photography', 'photograph']",[],"['photographic process', 'photography', 'photograph']",['Photography and Media'],unknown
4687,aic_4687.jpg,The Ploughman,Edward Calvert,1827.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/dd12578a-5ce2-b5e6-30e5-e068278671ee/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4687,Gift of the Print and Drawing Club,Prints and Drawings,"['reproduction', 'print', 'prints and drawing']",[],"['reproduction', 'paper (fiber product)', 'woodcut (process)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
4700,aic_4700.jpg,The Lady and the Rooks,Edward Calvert,1819.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/ddfd784d-4500-606a-9d3f-c7d259769120/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4700,Gift of the Print and Drawing Club,Prints and Drawings,"['wood engraving', 'print', 'prints and drawing']",[],"['wood engraving', 'paper (fiber product)', 'woodcut (process)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
4705,aic_4705.jpg,Relief Fragments Depicting a Seated Woman and a Griffin,Ancient Roman,1.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/6e69e735-b91d-2818-65d0-0c94da577761/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4705,Gift of Mrs. Edith Healy Hill,Arts of the Ancient Mediterranean and Byzantium,"['stuccowork', 'sculpture', 'ancient art', 'architectural fragment']","['roman (ancient, style or period)', 'ancient']","['stuccowork', 'stucco', 'mythology', 'roman (ancient, style or period)', 'sculpture', 'ancient art', 'ancient', 'architectural fragment']",['Arts of the Ancient Mediterranean and Byzantium'],unknown
4706,aic_4706.jpg,Relief Fragments Depicting a Winged Woman and Two Deer,Ancient Roman,1.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/fcac84ec-f3dc-fbc2-1ad6-d5dd8c5c587e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4706,Gift of Mrs. Edith Healy Hill,Arts of the Ancient Mediterranean and Byzantium,"['stuccowork', 'sculpture', 'ancient art', 'architectural fragment']","['roman (ancient, style or period)', 'ancient']","['stuccowork', 'stucco', 'mythology', 'roman (ancient, style or period)', 'sculpture', 'ancient art', 'ancient', 'architectural fragment']",['Arts of the Ancient Mediterranean and Byzantium'],unknown
4749,aic_4749.jpg,Mrs. George Swinton (Elizabeth Ebsworth),John Singer Sargent,1897.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/074c1b1b-fe92-01ce-9e62-cc99369142dd/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4749,Wirt D. Walker Collection,Arts of the Americas,"['painting', 'american arts']","['Impressionism', 'Realism', 'Modernism']","['painting', 'oil paint (paint)', 'Impressionism', 'fashion', 'organic material', 'american arts', 'women', 'portraits', 'Realism', 'Chicago', 'Modernism', 'people']",['Arts of the Americas'],unknown
4773,aic_4773.jpg,Isabella Wolff,Sir Thomas Lawrence,1803.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/0052fc88-353e-db97-8741-b6b5ec6fb354/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4773,Mr. and Mrs. W. W. Kimball Collection,Painting and Sculpture of Europe,"['painting', 'european painting']",[],"['painting', 'Century of Progress', 'european painting', 'portraits', ""world's fairs"", ""Chicago World's Fairs""]",['Painting and Sculpture of Europe'],unknown
