filename,museum,title,artist,year,price_text,license,auction_price_usd,permalink,id,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories
435896.jpg,"Metropolitan Museum of Art, New York",Portrait of a Carthusian,Petrus Christus,1446,,CC0,,https://www.metmuseum.org/art/collection/search/435896,,,,,,,,,,,,,
435897.jpg,"Metropolitan Museum of Art, New York",Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,,CC0,,https://www.metmuseum.org/art/collection/search/435897,,,,,,,,,,,,,
435997.jpg,"Metropolitan Museum of Art, New York",The Storm,Pierre-Auguste Cot,1880,,CC0,,https://www.metmuseum.org/art/collection/search/435997,,,,,,,,,,,,,
436102.jpg,"Metropolitan Museum of Art, New York",Virgin and Child with Four Angels,Gerard David,ca. 1510–15,,CC0,,https://www.metmuseum.org/art/collection/search/436102,,,,,,,,,,,,,
436155.jpg,"Metropolitan Museum of Art, New York",The Rehearsal of the Ballet Onstage,Edgar Degas,ca. 1874,,CC0,,https://www.metmuseum.org/art/collection/search/436155,,,,,,,,,,,,,
436336.jpg,"Metropolitan Museum of Art, New York",The Pérussis Altarpiece,Nicolas Froment,1480,,CC0,,https://www.metmuseum.org/art/collection/search/436336,,,,,,,,,,,,,
436440.jpg,"Metropolitan Museum of Art, New York",Cottage Children (The Wood Gatherers),Thomas Gainsborough,1787,,CC0,,https://www.metmuseum.org/art/collection/search/436440,,,,,,,,,,,,,
436492.jpg,"Metropolitan Museum of Art, New York",Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),,,CC0,,https://www.metmuseum.org/art/collection/search/436492,,,,,,,,,,,,,
436522.jpg,"Metropolitan Museum of Art, New York",A Benedictine Monk,Hugo van der Goes,,,CC0,,https://www.metmuseum.org/art/collection/search/436522,,,,,,,,,,,,,
436545.jpg,"Metropolitan Museum of Art, New York",Manuel Osorio Manrique de Zuñiga (1784–1792),Goya (Francisco de Goya y Lucientes),1787–88,,CC0,,https://www.metmuseum.org/art/collection/search/436545,,,,,,,,,,,,,
436657.jpg,"Metropolitan Museum of Art, New York","Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,1517,,CC0,,https://www.metmuseum.org/art/collection/search/436657,,,,,,,,,,,,,
436658.jpg,"Metropolitan Museum of Art, New York",Hermann von Wedigh III (died 1560),Hans Holbein the Younger,1532,,CC0,,https://www.metmuseum.org/art/collection/search/436658,,,,,,,,,,,,,
436785.jpg,"Metropolitan Museum of Art, New York",Honfleur,Johan Barthold Jongkind,1865,,CC0,,https://www.metmuseum.org/art/collection/search/436785,,,,,,,,,,,,,
436801.jpg,"Metropolitan Museum of Art, New York",The Marriage Feast at Cana,Juan de Flandes,ca. 1497,,CC0,,https://www.metmuseum.org/art/collection/search/436801,,,,,,,,,,,,,
